label,sample,sensor,channel,mean,std,min,max,median,variance
KO_HIGH_2mm,STWIN_00001,HTS221_HUM,Time,33.85393394765765,19.499794942425897,0.149213,67.591629085,33.853371411,380.24200279665865
KO_HIGH_2mm,STWIN_00001,HTS221_HUM,HUM,52.18035745957883,0.45288160981477216,51.498344421,53.317775726,52.037948608,0.20510175250841953
KO_HIGH_2mm,STWIN_00001,HTS221_TEMP,Time,33.85393394765765,19.499794942425897,0.149213,67.591629085,33.853371411,380.24200279665865
KO_HIGH_2mm,STWIN_00001,HTS221_TEMP,TEMP,32.26442085946353,0.18230495932776,31.677322388,32.584117889,32.288021088,0.03323509819549623
KO_HIGH_2mm,STWIN_00001,IIS2DH_ACC,Time,33.8146785831946,19.43039256429407,0.163238,67.467151188,33.8199164365,377.54015520257434
KO_HIGH_2mm,STWIN_00001,IIS2DH_ACC,A_x [g],-0.04632927272727273,0.06111553245079193,-0.528,0.576,-0.048,0.0037351083067438014
KO_HIGH_2mm,STWIN_00001,IIS2DH_ACC,A_y [g],-0.0435229090909091,0.03848731576992027,-0.48,0.48,-0.048,0.0014812734751735535
KO_HIGH_2mm,STWIN_00001,IIS2DH_ACC,A_z [g],1.0810287272727273,0.4623044072826103,-1.872,4.752,1.056,0.2137253649929256
KO_HIGH_2mm,STWIN_00001,IIS2MDC_MAG,Time,33.69240673407955,19.358409560795124,0.164887,67.240713913,33.69637079,374.74802072348405
KO_HIGH_2mm,STWIN_00001,IIS2MDC_MAG,M_x [gauss],0.6506718181818181,0.05747434824149921,0.39,0.9885,0.633,0.003303300705785124
KO_HIGH_2mm,STWIN_00001,IIS2MDC_MAG,M_y [gauss],-0.1313040909090909,0.044947497468924874,-0.2835,0.015,-0.117,0.0020202775287190083
KO_HIGH_2mm,STWIN_00001,IIS2MDC_MAG,M_z [gauss],-0.16262159090909087,0.06486938003134318,-0.4065,0.102,-0.15,0.004208036465650826
KO_HIGH_2mm,STWIN_00001,IIS3DWB_ACC,Time,33.97043587278837,19.516575302889596,0.165628,67.7742232,33.970973924999996,380.8967115533601
KO_HIGH_2mm,STWIN_00001,IIS3DWB_ACC,A_x [g],0.023588943999999983,0.14092063598070548,-5.283088,5.635912,0.023912,0.019858625645206504
KO_HIGH_2mm,STWIN_00001,IIS3DWB_ACC,A_y [g],-0.09142533627232138,0.10387759165950594,-3.346704,3.299368,-0.091256,0.01079055404897906
KO_HIGH_2mm,STWIN_00001,IIS3DWB_ACC,A_z [g],1.0703418519330354,0.48596367466413926,-3.290584,9.08412,1.069696,0.23616069309307336
KO_HIGH_2mm,STWIN_00001,IMP23ABSU_MIC,Time,33.9821115607603,19.527755112939765,0.159049,67.805173834,33.982112395499996,381.33321975094515
KO_HIGH_2mm,STWIN_00001,IMP23ABSU_MIC,MIC,-0.0111217277486911,643.8884000920173,-15827.0,19031.0,0.0,414592.27177305764
KO_HIGH_2mm,STWIN_00001,IMP34DT05_MIC,Time,33.97532930781032,19.527670026124824,0.152422,67.798235367,33.975329233500005,381.3298966492138
KO_HIGH_2mm,STWIN_00001,IMP34DT05_MIC,MIC,-0.08526331998768094,591.1437550908339,-17335.0,15327.0,0.0,349450.93918289186
KO_HIGH_2mm,STWIN_00001,ISM330DHCX_ACC,Time,33.984122378660274,19.51903069902728,0.176259,67.792005789,33.984032401,380.9925594295693
KO_HIGH_2mm,STWIN_00001,ISM330DHCX_ACC,A_x [g],-0.008445039443478259,0.10992382693583207,-3.19396,3.354512,-0.008296,0.012083247728218758
KO_HIGH_2mm,STWIN_00001,ISM330DHCX_ACC,A_y [g],-0.03365841450434783,0.08783786927507636,-1.850496,1.628456,-0.033672,0.007715491278785403
KO_HIGH_2mm,STWIN_00001,ISM330DHCX_ACC,A_z [g],1.0162635379999998,0.45886491475528324,-2.255536,5.274304,1.016504,0.21055700999337335
KO_HIGH_2mm,STWIN_00001,ISM330DHCX_GYRO,Time,33.984122378660274,19.51903069902728,0.176259,67.792005789,33.984032401,380.9925594295693
KO_HIGH_2mm,STWIN_00001,ISM330DHCX_GYRO,G_x [mdps],335.2586086956522,3829.9957049686195,-45780.0,92820.0,420.0,14668867.100078072
KO_HIGH_2mm,STWIN_00001,ISM330DHCX_GYRO,G_y [mdps],-1132.7570434782608,4508.590663294468,-534800.0,79100.0,-980.0,20327389.76914605
KO_HIGH_2mm,STWIN_00001,ISM330DHCX_GYRO,G_z [mdps],-528.8000869565218,4811.833436909107,-53480.0,367080.0,-560.0,23153741.024556506
KO_HIGH_2mm,STWIN_00001,LPS22HH_PRESS,Time,33.94115712658515,19.215398549758078,0.662336,67.221801063,33.939961452999995,369.2315414260448
KO_HIGH_2mm,STWIN_00001,LPS22HH_PRESS,PRESS,1015.7595492326004,0.04814050912752441,1015.574951172,1015.942138672,1015.759277344,0.0023175086190572614
KO_HIGH_2mm,STWIN_00001,LPS22HH_TEMP,Time,33.94115712658515,19.215398549758078,0.662336,67.221801063,33.939961452999995,369.2315414260448
KO_HIGH_2mm,STWIN_00001,LPS22HH_TEMP,TEMP,32.43618656241791,0.19078927845751603,31.840000153,32.720001221,32.470001221,0.03640054877433959
KO_HIGH_2mm,STWIN_00001,STTS751_TEMP,Time,32.858571997007815,18.917811190273817,0.410096,65.5307426,32.834868708,357.8835802308493
KO_HIGH_2mm,STWIN_00001,STTS751_TEMP,TEMP,31.43359375,0.14035347049391939,31.125,31.6875,31.4375,0.0196990966796875
KO_HIGH_2mm,STWIN_00002,HTS221_HUM,Time,33.85393394765765,19.499794942425897,0.149213,67.591629085,33.853371411,380.24200279665865
KO_HIGH_2mm,STWIN_00002,HTS221_HUM,HUM,52.18035745957883,0.45288160981477216,51.498344421,53.317775726,52.037948608,0.20510175250841953
KO_HIGH_2mm,STWIN_00002,HTS221_TEMP,Time,33.85393394765765,19.499794942425897,0.149213,67.591629085,33.853371411,380.24200279665865
KO_HIGH_2mm,STWIN_00002,HTS221_TEMP,TEMP,32.26442085946353,0.18230495932776,31.677322388,32.584117889,32.288021088,0.03323509819549623
KO_HIGH_2mm,STWIN_00002,IIS2DH_ACC,Time,33.8146785831946,19.43039256429407,0.163238,67.467151188,33.8199164365,377.54015520257434
KO_HIGH_2mm,STWIN_00002,IIS2DH_ACC,A_x [g],-0.04632927272727273,0.06111553245079193,-0.528,0.576,-0.048,0.0037351083067438014
KO_HIGH_2mm,STWIN_00002,IIS2DH_ACC,A_y [g],-0.0435229090909091,0.03848731576992027,-0.48,0.48,-0.048,0.0014812734751735535
KO_HIGH_2mm,STWIN_00002,IIS2DH_ACC,A_z [g],1.0810287272727273,0.4623044072826103,-1.872,4.752,1.056,0.2137253649929256
KO_HIGH_2mm,STWIN_00002,IIS2MDC_MAG,Time,33.69240673407955,19.358409560795124,0.164887,67.240713913,33.69637079,374.74802072348405
KO_HIGH_2mm,STWIN_00002,IIS2MDC_MAG,M_x [gauss],0.6506718181818181,0.05747434824149921,0.39,0.9885,0.633,0.003303300705785124
KO_HIGH_2mm,STWIN_00002,IIS2MDC_MAG,M_y [gauss],-0.1313040909090909,0.044947497468924874,-0.2835,0.015,-0.117,0.0020202775287190083
KO_HIGH_2mm,STWIN_00002,IIS2MDC_MAG,M_z [gauss],-0.16262159090909087,0.06486938003134318,-0.4065,0.102,-0.15,0.004208036465650826
KO_HIGH_2mm,STWIN_00002,IIS3DWB_ACC,Time,33.97043587278837,19.516575302889596,0.165628,67.7742232,33.970973924999996,380.8967115533601
KO_HIGH_2mm,STWIN_00002,IIS3DWB_ACC,A_x [g],0.023588943999999983,0.14092063598070548,-5.283088,5.635912,0.023912,0.019858625645206504
KO_HIGH_2mm,STWIN_00002,IIS3DWB_ACC,A_y [g],-0.09142533627232138,0.10387759165950594,-3.346704,3.299368,-0.091256,0.01079055404897906
KO_HIGH_2mm,STWIN_00002,IIS3DWB_ACC,A_z [g],1.0703418519330354,0.48596367466413926,-3.290584,9.08412,1.069696,0.23616069309307336
KO_HIGH_2mm,STWIN_00002,IMP23ABSU_MIC,Time,33.9821115607603,19.527755112939765,0.159049,67.805173834,33.982112395499996,381.33321975094515
