label,sample,temperature_mean,humidity_mean,acceleration_x_mean,acceleration_y_mean,acceleration_z_mean,pressure_mean,gyroscope_x_mean,gyroscope_y_mean,gyroscope_z_mean,microphone_mean
OK,Sample_001,25.3,45.2,0.12,-0.08,1.05,1013.2,0.02,-0.01,0.98,0.15
OK,Sample_002,24.8,46.1,0.15,-0.06,1.08,1012.8,0.03,-0.02,0.95,0.18
OK,Sample_003,25.1,44.9,0.11,-0.09,1.06,1013.5,0.01,-0.01,0.97,0.16
OK,Sample_004,24.9,45.8,0.14,-0.07,1.07,1012.9,0.02,-0.02,0.96,0.17
OK,Sample_005,25.2,45.5,0.13,-0.08,1.04,1013.1,0.02,-0.01,0.99,0.14
KO,Sample_006,22.1,38.7,-0.25,0.18,0.89,1008.4,-0.15,0.12,0.82,-0.22
KO,Sample_007,21.8,39.2,-0.28,0.21,0.87,1008.1,-0.18,0.14,0.79,-0.25
KO,Sample_008,22.3,38.9,-0.26,0.19,0.88,1008.7,-0.16,0.13,0.81,-0.23
KO,Sample_009,21.9,39.1,-0.27,0.20,0.86,1008.3,-0.17,0.15,0.80,-0.24
KO,Sample_010,22.0,38.8,-0.24,0.17,0.90,1008.5,-0.14,0.11,0.83,-0.21
KO_HIGH_2mm,Sample_011,28.5,52.3,0.45,-0.35,1.25,1018.2,0.25,-0.18,1.15,0.45
KO_HIGH_2mm,Sample_012,28.2,52.8,0.48,-0.38,1.23,1018.5,0.28,-0.21,1.12,0.48
KO_HIGH_2mm,Sample_013,28.8,52.1,0.46,-0.36,1.24,1018.0,0.26,-0.19,1.14,0.46
KO_HIGH_2mm,Sample_014,28.1,52.6,0.47,-0.37,1.22,1018.3,0.27,-0.20,1.13,0.47
KO_HIGH_2mm,Sample_015,28.4,52.4,0.44,-0.34,1.26,1018.1,0.24,-0.17,1.16,0.44
KO_LOW_2mm,Sample_016,19.2,32.1,-0.42,0.31,0.72,1002.8,-0.28,0.21,0.65,-0.38
KO_LOW_2mm,Sample_017,19.5,32.6,-0.45,0.34,0.70,1002.5,-0.31,0.24,0.62,-0.41
KO_LOW_2mm,Sample_018,19.1,32.3,-0.43,0.32,0.71,1002.9,-0.29,0.22,0.64,-0.39
KO_LOW_2mm,Sample_019,19.4,32.8,-0.44,0.33,0.69,1002.6,-0.30,0.23,0.63,-0.40
KO_LOW_2mm,Sample_020,19.3,32.4,-0.41,0.30,0.73,1002.7,-0.27,0.20,0.66,-0.37
